Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,2478.149902,2504.760010,2467.100098,2503.419922,2503.419922,0
2019-03-11,2510.219971,2523.050049,2499.459961,2521.139893,2521.139893,0
2019-03-12,2521.139893,2554.159912,2521.139893,2545.459961,2545.459961,0
2019-03-13,2557.760010,2568.260010,2553.129883,2559.909912,2559.909912,0
2019-03-14,2573.340088,2573.340088,2550.169922,2554.000000,2554.000000,0
2019-03-15,2549.750000,2558.760010,2541.750000,2553.429932,2553.429932,0
2019-03-18,2558.580078,2579.189941,2554.909912,2575.409912,2575.409912,0
2019-03-19,2574.350098,2585.590088,2545.270020,2550.699951,2550.699951,0
2019-03-20,2547.229980,2576.929932,2530.719971,2558.139893,2558.139893,0
2019-03-21,2547.709961,2571.489990,2547.709961,2568.639893,2568.639893,0
2019-03-22,2557.320068,2560.050049,2511.969971,2518.949951,2518.949951,0
2019-03-25,2512.520020,2525.229980,2500.620117,2511.850098,2511.850098,0
2019-03-26,2517.250000,2540.199951,2517.030029,2532.239990,2532.239990,0
2019-03-27,2534.699951,2536.090088,2505.610107,2509.419922,2509.419922,0
2019-03-28,2511.929932,2524.120117,2499.709961,2514.989990,2514.989990,0
2019-03-29,2541.550049,2550.120117,2528.300049,2543.620117,2543.620117,0
2019-04-01,2556.439941,2564.389893,2539.260010,2548.239990,2548.239990,0
2019-04-02,2551.520020,2551.520020,2528.629883,2544.379883,2544.379883,0
2019-04-03,2544.379883,2552.649902,2521.100098,2524.709961,2524.709961,0
2019-04-04,2524.489990,2541.040039,2520.020020,2541.000000,2541.000000,0
2019-04-05,2545.270020,2557.649902,2545.090088,2555.530029,2555.530029,0
2019-04-08,2563.550049,2583.050049,2561.719971,2583.010010,2583.010010,0
2019-04-09,2585.020020,2585.020020,2561.300049,2569.179932,2569.179932,0
2019-04-10,2565.179932,2600.610107,2564.929932,2595.300049,2595.300049,0
2019-04-11,2587.379883,2601.979980,2582.370117,2595.820068,2595.820068,0
2019-04-12,2619.389893,2619.889893,2599.290039,2601.530029,2601.530029,0
2019-04-15,2600.610107,2607.020020,2580.810059,2589.060059,2589.060059,0
2019-04-16,2600.550049,2603.080078,2582.060059,2592.439941,2592.439941,0
2019-04-17,2600.429932,2603.959961,2590.340088,2598.830078,2598.830078,0
2019-04-18,2599.860107,2604.040039,2579.709961,2588.209961,2588.209961,0
2019-04-22,2593.909912,2608.370117,2591.689941,2605.989990,2605.989990,0
2019-04-23,2608.330078,2629.250000,2605.699951,2629.040039,2629.040039,0
2019-04-24,2627.629883,2628.639893,2602.580078,2602.580078,2602.580078,0
2019-04-25,2604.159912,2609.209961,2588.889893,2591.800049,2591.800049,0
2019-04-26,2572.399902,2590.899902,2550.290039,2590.169922,2590.169922,0
2019-04-29,2589.580078,2592.300049,2576.810059,2579.270020,2579.270020,0
2019-04-30,2584.030029,2589.209961,2570.830078,2573.580078,2573.580078,0
2019-05-01,2573.290039,2580.689941,2558.199951,2558.199951,2558.199951,0
2019-05-02,2545.729980,2556.790039,2532.449951,2542.389893,2542.389893,0
2019-05-03,2551.669922,2567.070068,2543.860107,2562.500000,2562.500000,0
2019-05-06,2531.429932,2565.409912,2528.830078,2561.290039,2561.290039,0
2019-05-07,2561.290039,2561.290039,2531.399902,2553.120117,2553.120117,0
2019-05-08,2549.300049,2565.229980,2542.189941,2543.810059,2543.810059,0
2019-05-09,2518.189941,2552.989990,2494.959961,2550.260010,2550.260010,0
2019-05-10,2547.840088,2578.790039,2538.469971,2576.899902,2576.899902,0
2019-05-13,2533.889893,2547.850098,2518.209961,2523.639893,2523.639893,0
2019-05-14,2523.639893,2553.250000,2523.639893,2548.870117,2548.870117,0
2019-05-15,2538.689941,2568.389893,2536.260010,2561.790039,2561.790039,0
2019-05-16,2561.790039,2581.969971,2561.790039,2572.830078,2572.830078,0
2019-05-17,2561.719971,2573.899902,2551.699951,2551.699951,2551.699951,0
2019-05-20,2543.810059,2565.209961,2539.530029,2550.620117,2550.620117,0
2019-05-21,2560.830078,2573.659912,2552.729980,2569.610107,2569.610107,0
2019-05-22,2553.479980,2557.139893,2531.469971,2544.939941,2544.939941,0
2019-05-23,2521.959961,2521.959961,2468.939941,2484.959961,2484.959961,0
2019-05-24,2499.010010,2505.729980,2486.489990,2489.969971,2489.969971,0
2019-05-28,2485.629883,2493.800049,2456.560059,2458.770020,2458.770020,0
2019-05-29,2444.270020,2471.560059,2443.560059,2468.449951,2468.449951,0
2019-05-30,2468.550049,2475.250000,2453.129883,2456.659912,2456.659912,0
2019-05-31,2430.830078,2454.000000,2426.610107,2442.570068,2442.570068,0
2019-06-03,2451.479980,2475.600098,2451.479980,2460.719971,2460.719971,0
2019-06-04,2475.850098,2485.739990,2466.290039,2479.030029,2479.030029,0
2019-06-05,2487.169922,2493.219971,2471.570068,2483.489990,2483.489990,0
2019-06-06,2482.129883,2508.729980,2480.030029,2504.909912,2504.909912,0
2019-06-07,2509.580078,2524.199951,2504.020020,2514.199951,2514.199951,0
2019-06-10,2514.280029,2524.969971,2502.669922,2505.909912,2505.909912,0
2019-06-11,2508.030029,2516.659912,2489.409912,2500.239990,2500.239990,0
2019-06-12,2500.250000,2508.399902,2482.639893,2485.929932,2485.929932,0
2019-06-13,2497.649902,2507.959961,2493.159912,2507.399902,2507.399902,0
2019-06-14,2510.800049,2514.469971,2494.580078,2497.270020,2497.270020,0
2019-06-17,2497.270020,2514.560059,2490.280029,2506.709961,2506.709961,0
2019-06-18,2506.719971,2540.419922,2506.719971,2525.149902,2525.149902,0
2019-06-19,2523.219971,2545.320068,2516.469971,2539.760010,2539.760010,0
2019-06-20,2539.820068,2589.449951,2539.820068,2580.699951,2580.699951,0
2019-06-21,2580.709961,2584.409912,2564.729980,2565.979980,2565.979980,0
2019-06-24,2565.969971,2575.449951,2557.010010,2566.320068,2566.320068,0
2019-06-25,2572.659912,2577.459961,2546.820068,2547.139893,2547.139893,0
2019-06-26,2547.159912,2571.419922,2547.159912,2560.370117,2560.370117,0
2019-06-27,2558.840088,2568.239990,2546.469971,2553.360107,2553.360107,0
2019-06-28,2553.379883,2577.100098,2551.969971,2574.610107,2574.610107,0
2019-07-01,2574.669922,2612.060059,2574.669922,2582.810059,2582.810059,0
2019-07-02,2582.800049,2591.469971,2558.580078,2575.449951,2575.449951,0
2019-07-03,2575.500000,2578.379883,2558.399902,2569.800049,2569.800049,0
2019-07-05,2564.020020,2569.600098,2548.239990,2569.600098,2569.600098,0
2019-07-08,2563.979980,2579.090088,2563.850098,2572.469971,2572.469971,0
2019-07-09,2568.530029,2577.010010,2562.939941,2574.159912,2574.159912,0
